variable,high_ahc_mean,high_ahc_std,high_ahc_n,low_ahc_mean,low_ahc_std,low_ahc_n,diff
income,2185847.943931286,2934898.4817257538,58678,1052924.6825935652,817377.0398843782,46839,1132923.261337721
log_income,14.209527610243622,0.902454795766605,58678,13.643343570278574,0.7397993918414102,46839,0.566184039965048
age,38.842734926207434,12.040146469860007,58678,41.4293644185401,12.597759024316497,46839,-2.586629492332669
education_years,16.572283501525465,3.666857189589397,42610,10.773068725760805,4.197163368455712,28621,5.799214775764661
experience,17.01485566768364,13.086527030125179,42610,26.624506481255022,14.449992771469764,28621,-9.609650813571381
hours_worked,44.754763284365524,12.431060498754531,58678,44.68923333119836,12.94571506338113,46839,0.06552995316716448
formal,0.6466137223490916,0.47802542892047345,58678,0.29930186383142254,0.4579571330428649,46839,0.3473118585176691
female,0.5605678448481544,0.4963222081106565,58678,0.2997929076197186,0.45817202220356534,46839,0.26077493722843575
automation_prob,0.34869235488598793,0.21062162713253976,58678,0.6646141036315891,0.06253091808349283,46839,-0.3159217487456012
