sector,mean_ahc,mean_sub,mean_income,mean_formal,n_workers
Educacion,55.217158096063116,40.627179196481165,3105954.545132743,0.8849557522123894,3537755.175829606
Serv. profesionales,53.81726791676717,41.47400028679835,2821117.651766177,0.7124101281650516,2625948.631173747
Org. extraterritoriales,52.08599809562884,40.67933166759889,4443804.87804878,0.9512195121951219,27876.152470334
Admin. publica,50.0047114369129,42.91595026095604,3574733.2636363637,0.9974630021141649,2685203.638745452
Financiero,49.39106689360648,44.94408770305866,2754275.4638888887,0.8611111111111112,1570634.757555277
Salud,49.24173422831874,41.18368156857257,2439442.241011328,0.908553603677557,3844878.177951544
Info/Comunicaciones,48.95080383878701,39.095224900903226,3274315.856673241,0.8842866535174227,1459013.40989688
Arte/Entretenimiento,46.41785220059599,39.01904839579104,1476880.931174089,0.47368421052631576,976661.157601758
Comercio,44.009925205717394,37.47825768023016,1390516.121627064,0.4355618203785743,13914660.818273952
Inmobiliario,43.89734537519883,37.258131366505395,1992770.8085969181,0.8637469586374696,1139303.587587302
Alojamiento/Comida,43.561366637316645,36.34850048358729,1143965.7548997265,0.28281677301731994,5751611.65745828
Otros servicios,43.23963885119369,36.27722198735618,1198131.3316426063,0.2698010144362076,3436527.652551269
Serv. publicos,42.630052384883506,35.99408723712313,1788941.4053198227,0.6966434452184928,1087619.788326608
Adm. y apoyo,42.37977272900419,37.580633483744116,1206995.456091699,0.43168792752819374,3885548.382138615
Mineria,40.25321534298074,39.40276917180964,2473312.815931109,0.5446716899892358,1022035.437841945
Manufactura,40.24857856267043,35.31817503206749,1536238.00553015,0.5489737317877273,9109828.308707168
Agricultura,39.693641540205945,33.65035142670812,1028446.3408113449,0.1787748459839591,10728806.813591354
Construccion,39.50012076109689,31.40313976087496,1476049.9894888976,0.3671002496386809,5766807.593888045
Hogares empleadores,38.8897461238573,31.03992734216536,940006.4974646383,0.19268748331998933,2667204.482962501
Transporte,37.90583566706365,43.6949103772441,1263621.249386845,0.3536231884057971,6192444.6406136025
