variable,M1: Standard Mincer_coef,M1: Standard Mincer_se,M2: + AHC indices_coef,M2: + AHC indices_se,M3: + AHC×D interactions_coef,M3: + AHC×D interactions_se,M4: + Controls_coef,M4: + Controls_se,M5: + Sector FE_coef,M5: + Sector FE_se
education_years,0.1044***,(0.0006),0.0705***,(0.0006),0.0705***,(0.0006),0.0528***,(0.0006),0.0509***,(0.0006)
experience,0.0260***,(0.0005),0.0264***,(0.0004),0.0264***,(0.0004),0.0223***,(0.0004),0.0216***,(0.0004)
experience_sq,-0.0005***,(0.0000),-0.0005***,(0.0000),-0.0005***,(0.0000),-0.0004***,(0.0000),-0.0004***,(0.0000)
AHC_score_z,,,0.0436***,(0.0038),0.0436***,(0.0038),0.0596***,(0.0035),0.0395***,(0.0035)
SUB_score_z,,,0.1954***,(0.0037),0.1954***,(0.0037),0.1281***,(0.0033),0.1159***,(0.0034)
ROU_score_z,,,-0.2719***,(0.0040),-0.2719***,(0.0040),-0.2235***,(0.0037),-0.2189***,(0.0037)
PHY_score_z,,,-0.2814***,(0.0050),-0.2814***,(0.0050),-0.2650***,(0.0046),-0.3018***,(0.0046)
AHC_x_lnD,,,,,0.0001,(0.0018),-0.0002,(0.0017),-0.0002,(0.0017)
ROU_x_lnD,,,,,0.0005,(0.0017),0.0003,(0.0016),0.0001,(0.0016)
ln_D_z,,,,,0.0010,(0.0018),0.0003,(0.0016),0.0000,(0.0016)
female,,,,,,,-0.4469***,(0.0035),-0.4435***,(0.0036)
urban,,,,,,,0.2709***,(0.0065),0.2961***,(0.0072)
N,"182,407",,"182,407",,"182,407",,"182,407",,"182,407",
R²,0.2562,,0.3375,,0.3375,,0.4634,,0.4741,
R² adj,0.2562,,0.3374,,0.3374,,0.4634,,0.4740,
