variable,M6: Formal workers_coef,M6: Formal workers_se,M6: Informal workers_coef,M6: Informal workers_se
education_years,0.0523***,(0.0007),0.0317***,(0.0009)
experience,0.0231***,(0.0004),0.0216***,(0.0007)
experience_sq,-0.0004***,(0.0000),-0.0004***,(0.0000)
AHC_score_z,0.2010***,(0.0020),0.1847***,(0.0043)
SUB_score_z,-0.0165***,(0.0032),0.1658***,(0.0061)
ROU_score_z,-0.0773***,(0.0030),-0.1250***,(0.0076)
PHY_score_z,,,,
AHC_x_lnD,0.0000,(0.0018),0.0010,(0.0049)
ROU_x_lnD,0.0002,(0.0015),0.0012,(0.0054)
ln_D_z,-0.0000,(0.0017),0.0008,(0.0038)
female,,,,
urban,,,,
N,"98,639",,"83,768",
R²,0.3067,,0.0891,
R² adj,0.3067,,0.0890,
